#OTU ID	SRR14065308	SRR14065340	SRR14065341	SRR14065392	SRR14065395	SRR14065400	SRR14065406	SRR14065408	SRR14065413	SRR14065418	SRR14065429	SRR14065444	SRR14065495	SRR14065520	SRR14065527	SRR14065559	SRR14065561	SRR14065565	SRR14065566	SRR14065606	SRR14065629	SRR14065676	SRR14065680	SRR14065689	SRR14065714	SRR14065724	SRR14065760	SRR14065764	SRR14065780	SRR14065800	SRR14065801	SRR14065802	SRR14065805	SRR14065812	SRR14065820	SRR14065848	SRR14065866	SRR14065871	SRR14065884	SRR14065898	SRR14065911	SRR14065914
fig|479436.6.rna.18	0	0	6	0	0	0	0	0	0	3	3	0	9	0	0	0	0	0	0	0	0	1	15	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	585	1	0	0
fig|479436.6.rna.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
fig|483215.6.rna.62	0	1	9	0	1	0	0	0	0	5	0	1	0	8	1	2	1	0	1	0	0	0	6	0	0	3	1	0	0	0	4	1	2	2	0	0	5	0	0	0	0	0
fig|483215.6.rna.63	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
fig|484020.3.rna.60	1	0	0	0	0	0	63	0	433	0	0	0	177	0	0	0	0	0	29	0	1	517	0	0	0	0	0	20607	0	0	0	30	0	0	0	0	1	3	595	0	269	0
fig|500639.8.rna.58	117	159	0	0	81	0	4	48	36	34	9	0	1253	0	57	0	0	2	0	0	0	0	0	2	0	0	321	116	28	0	0	0	0	9	0	0	0	0	0	283	13	0
fig|515619.6.rna.2	0	0	1498	29	0	286	804	571	0	63	0	864	1131	0	437	381	0	211	1234	54	333	0	203	0	0	1490	0	1	0	132	0	1479	417	242	2764	0	969	845	0	0	0	0
fig|515619.6.rna.24	0	0	0	0	0	4	0	0	0	11	0	0	254	0	0	1	0	0	721	0	0	0	0	0	0	0	0	0	0	20	0	867	0	0	138	0	0	0	0	0	0	0
fig|515619.6.rna.63	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
fig|515620.4.rna.12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0
fig|515620.4.rna.2	0	0	2	24	0	0	1	127	0	12	0	5	0	0	0	8	0	55	0	5	83	0	0	0	0	0	0	0	0	9	0	0	93	0	68	0	3	2	3	0	0	0
fig|522373.3.rna.2	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
